benchmark,model,subject,total,correct,valid,ambiguous,accuracy_all_pct,accuracy_valid_pct,historical_yes,historical_yes_pct
ChemBench4K,Qwen3-4B,Yield_Prediction_benchmark,300,100,300,0,33.333333333333336,33.333333333333336,100,33.333333333333336
ChemBench4K,Qwen3-8B,Caption2mol_benchmark,800,348,800,0,43.5,43.5,348,43.5
ChemBench4K,Qwen3-8B,Mol2caption_benchmark,299,260,299,0,86.95652173913044,86.95652173913044,260,86.95652173913044
ChemBench4K,Qwen3-8B,Name_Conversion_benchmark,799,472,797,2,59.073842302878596,59.222082810539526,474,59.32415519399249
ChemBench4K,Qwen3-8B,Product_Prediction_benchmark,300,226,300,0,75.33333333333333,75.33333333333333,226,75.33333333333333
ChemBench4K,Qwen3-8B,Property_Prediction_benchmark,709,343,707,2,48.37799717912553,48.51485148514851,345,48.66008462623413
ChemBench4K,Qwen3-8B,Retrosynthesis_benchmark,300,163,300,0,54.333333333333336,54.333333333333336,163,54.333333333333336
ChemBench4K,Qwen3-8B,Solvent_Prediction_benchmark,300,91,300,0,30.333333333333332,30.333333333333332,91,30.333333333333332
ChemBench4K,Qwen3-8B,Temperature_Prediction_benchmark,202,45,202,0,22.277227722772277,22.277227722772277,45,22.277227722772277
ChemBench4K,Qwen3-8B,Yield_Prediction_benchmark,300,123,300,0,41.0,41.0,123,41.0
MASCQA,ChemDFM-v1.0-13B,Atomic structure,100,48,100,0,48.0,48.0,48,48.0
MASCQA,ChemDFM-v1.0-13B,Electrical,36,21,35,1,58.333333333333336,60.0,21,58.333333333333336
MASCQA,ChemDFM-v1.0-13B,Fluid,14,7,13,1,50.0,53.84615384615385,8,57.142857142857146
MASCQA,ChemDFM-v1.0-13B,Magnetism,15,8,15,0,53.333333333333336,53.333333333333336,8,53.333333333333336
MASCQA,ChemDFM-v1.0-13B,Material Applications,53,34,52,1,64.15094339622641,65.38461538461539,35,66.0377358490566
MASCQA,ChemDFM-v1.0-13B,Material characterization,14,6,14,0,42.857142857142854,42.857142857142854,6,42.857142857142854
MASCQA,ChemDFM-v1.0-13B,Material manufacturing,91,39,91,0,42.857142857142854,42.857142857142854,39,42.857142857142854
MASCQA,ChemDFM-v1.0-13B,Material processing,35,18,35,0,51.42857142857143,51.42857142857143,18,51.42857142857143
MASCQA,ChemDFM-v1.0-13B,Material testing,9,6,9,0,66.66666666666667,66.66666666666667,6,66.66666666666667
MASCQA,ChemDFM-v1.0-13B,Mechanical,96,53,93,3,55.208333333333336,56.98924731182796,56,58.333333333333336
MASCQA,ChemDFM-v1.0-13B,Miscellaneous,8,3,7,1,37.5,42.857142857142854,4,50.0
MASCQA,ChemDFM-v1.0-13B,Phase transition,41,19,41,0,46.34146341463415,46.34146341463415,19,46.34146341463415
MASCQA,ChemDFM-v1.0-13B,Thermodynamics,114,63,110,4,55.26315789473684,57.27272727272727,67,58.771929824561404
MASCQA,ChemDFM-v1.0-13B,Transport phenomena,24,19,24,0,79.16666666666667,79.16666666666667,19,79.16666666666667
MASCQA,ChemLLM-7B-Chat,Atomic structure,100,32,98,2,32.0,32.6530612244898,34,34.0
MASCQA,ChemLLM-7B-Chat,Electrical,36,18,36,0,50.0,50.0,18,50.0
MASCQA,ChemLLM-7B-Chat,Fluid,14,5,12,2,35.714285714285715,41.666666666666664,7,50.0
MASCQA,ChemLLM-7B-Chat,Magnetism,15,5,15,0,33.333333333333336,33.333333333333336,5,33.333333333333336
MASCQA,ChemLLM-7B-Chat,Material Applications,53,19,53,0,35.84905660377358,35.84905660377358,19,35.84905660377358
MASCQA,ChemLLM-7B-Chat,Material characterization,14,5,14,0,35.714285714285715,35.714285714285715,5,35.714285714285715
MASCQA,ChemLLM-7B-Chat,Material manufacturing,91,29,88,3,31.86813186813187,32.95454545454545,30,32.967032967032964
MASCQA,ChemLLM-7B-Chat,Material processing,35,12,35,0,34.285714285714285,34.285714285714285,12,34.285714285714285
MASCQA,ChemLLM-7B-Chat,Material testing,9,2,9,0,22.22222222222222,22.22222222222222,2,22.22222222222222
MASCQA,ChemLLM-7B-Chat,Mechanical,96,32,94,2,33.333333333333336,34.04255319148936,34,35.416666666666664
MASCQA,ChemLLM-7B-Chat,Miscellaneous,8,3,7,1,37.5,42.857142857142854,4,50.0
MASCQA,ChemLLM-7B-Chat,Phase transition,41,14,41,0,34.146341463414636,34.146341463414636,14,34.146341463414636
MASCQA,ChemLLM-7B-Chat,Thermodynamics,114,48,109,5,42.10526315789474,44.03669724770642,53,46.49122807017544
MASCQA,ChemLLM-7B-Chat,Transport phenomena,24,15,23,1,62.5,65.21739130434783,16,66.66666666666667
MASCQA,Qwen3-0.6B,Atomic structure,100,17,99,1,17.0,17.171717171717173,18,18.0
MASCQA,Qwen3-0.6B,Electrical,36,5,36,0,13.88888888888889,13.88888888888889,5,13.88888888888889
MASCQA,Qwen3-0.6B,Fluid,14,3,14,0,21.428571428571427,21.428571428571427,3,21.428571428571427
MASCQA,Qwen3-0.6B,Magnetism,15,2,15,0,13.333333333333334,13.333333333333334,2,13.333333333333334
MASCQA,Qwen3-0.6B,Material Applications,53,17,53,0,32.075471698113205,32.075471698113205,17,32.075471698113205
MASCQA,Qwen3-0.6B,Material characterization,14,4,14,0,28.571428571428573,28.571428571428573,4,28.571428571428573
MASCQA,Qwen3-0.6B,Material manufacturing,91,18,91,0,19.78021978021978,19.78021978021978,18,19.78021978021978
MASCQA,Qwen3-0.6B,Material processing,35,14,35,0,40.0,40.0,14,40.0
MASCQA,Qwen3-0.6B,Material testing,9,3,9,0,33.333333333333336,33.333333333333336,3,33.333333333333336
MASCQA,Qwen3-0.6B,Mechanical,96,7,96,0,7.291666666666667,7.291666666666667,7,7.291666666666667
MASCQA,Qwen3-0.6B,Miscellaneous,8,2,8,0,25.0,25.0,2,25.0
MASCQA,Qwen3-0.6B,Phase transition,41,6,41,0,14.634146341463415,14.634146341463415,6,14.634146341463415
MASCQA,Qwen3-0.6B,Thermodynamics,114,20,114,0,17.54385964912281,17.54385964912281,20,17.54385964912281
MASCQA,Qwen3-0.6B,Transport phenomena,24,5,24,0,20.833333333333332,20.833333333333332,5,20.833333333333332
MASCQA,Qwen3-1.7B,Atomic structure,100,36,100,0,36.0,36.0,36,36.0
